WARNING: 2 open meshes merged
     Merged: WingGeom
     Merged: Vtail
...Mass Properties...
68 Num Comps
35 Total Num Meshes
15840 Total Num Tris

1.039702130762993e+01             Total Mass
5.085019971673077e-01 -8.227361139565856e-05 8.195117950636249e-01       Center of Gravity
5.833307112840854e-01 1.040036998716569e+00 1.322124268524574e+00       Ixx, Iyy, Izz
-4.669952226987959e-04 9.167326541968675e-02 -5.809878752371276e-05       Ixy, Ixz, Iyz
4.731396769537023e-02             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
9.790000000000000e-02	1.175829930646112e-06	7.066389841384939e-02	-4.173531514774213e-04	9.028792664421992e-01	2.743535903695615e-11	1.726682459661256e-10	1.955953601022169e-10	-3.294234463775493e-12	2.388529133086288e-13	-6.507807893710449e-13	1.328657333136082e-03
1.157000000000000e-01	1.175829930646112e-06	7.066389841384939e-02	-4.173531514774213e-04	9.028792664421992e-01	2.743535903695615e-11	1.726682459661256e-10	1.955953601022169e-10	-3.294234463775493e-12	2.388529133086288e-13	-6.507807893710449e-13	1.677430173816452e-03
1.335000000000000e-01	1.175829930646112e-06	7.066389841384939e-02	-4.173531514774213e-04	9.028792664421992e-01	2.743535903695615e-11	1.726682459661256e-10	1.955953601022169e-10	-3.294234463775493e-12	2.388529133086288e-13	-6.507807893710449e-13	2.026203014496823e-03
1.513000000000000e-01	1.175829930646112e-06	7.066389841384939e-02	-4.173531514774213e-04	9.028792664421992e-01	2.743535903695615e-11	1.726682459661256e-10	1.955953601022169e-10	-3.294234463775493e-12	2.388529133086288e-13	-6.507807893710449e-13	2.374975855177193e-03
1.691000000000000e-01	1.175829930646112e-06	7.066389841384939e-02	-4.173531514774213e-04	9.028792664421992e-01	2.743535903695615e-11	1.726682459661256e-10	1.955953601022169e-10	-3.294234463775493e-12	2.388529133086288e-13	-6.507807893710449e-13	2.723748695857562e-03
1.869000000000000e-01	1.175829930646112e-06	7.066389841384939e-02	-4.173531514774213e-04	9.028792664421992e-01	2.743535903695615e-11	1.726682459661256e-10	1.955953601022169e-10	-3.294234463775493e-12	2.388529133086288e-13	-6.507807893710449e-13	3.104561536537931e-03
2.047000000000000e-01	1.175829930646112e-06	7.066389841384939e-02	-4.173531514774213e-04	9.028792664421992e-01	2.743535903695615e-11	1.726682459661256e-10	1.955953601022169e-10	-3.294234463775493e-12	2.388529133086288e-13	-6.507807893710449e-13	3.485374377218299e-03
2.225000000000000e-01	1.175829930646112e-06	7.066389841384939e-02	-4.173531514774213e-04	9.028792664421992e-01	2.743535903695615e-11	1.726682459661256e-10	1.955953601022169e-10	-3.294234463775493e-12	2.388529133086288e-13	-6.507807893710449e-13	3.866187217898668e-03
2.403000000000000e-01	1.175829930646112e-06	7.066389841384939e-02	-4.173531514774213e-04	9.028792664421992e-01	2.743535903695615e-11	1.726682459661256e-10	1.955953601022169e-10	-3.294234463775493e-12	2.388529133086288e-13	-6.507807893710449e-13	4.214960058579037e-03
2.581000000000000e-01	1.175829930646112e-06	7.066389841384939e-02	-4.173531514774213e-04	9.028792664421992e-01	2.743535903695615e-11	1.726682459661256e-10	1.955953601022169e-10	-3.294234463775493e-12	2.388529133086288e-13	-6.507807893710449e-13	4.563731273910385e-03
2.759000000000000e-01	1.175829930646112e-06	7.066389841384939e-02	-4.173531514774213e-04	9.028792664421992e-01	2.743535903695615e-11	1.726682459661256e-10	1.955953601022169e-10	-3.294234463775493e-12	2.388529133086288e-13	-6.507807893710449e-13	4.912504114590757e-03
2.937000000000000e-01	1.175829930646112e-06	7.066389841384939e-02	-4.173531514774213e-04	9.028792664421992e-01	2.743535903695615e-11	1.726682459661256e-10	1.955953601022169e-10	-3.294234463775493e-12	2.388529133086288e-13	-6.507807893710449e-13	5.261276955271128e-03
3.115000000000000e-01	1.175829930646112e-06	7.066389841384939e-02	-4.173531514774213e-04	9.028792664421992e-01	2.743535903695615e-11	1.726682459661256e-10	1.955953601022169e-10	-3.294234463775493e-12	2.388529133086288e-13	-6.507807893710449e-13	5.611532120733716e-03
3.293000000000000e-01	1.175829930646112e-06	7.066389841384939e-02	-4.173531514774213e-04	9.028792664421992e-01	2.743535903695615e-11	1.726682459661256e-10	1.955953601022169e-10	-3.294234463775493e-12	2.388529133086288e-13	-6.507807893710449e-13	5.968026790257113e-03
3.471000000000000e-01	1.175829930646112e-06	7.066389841384939e-02	-4.173531514774213e-04	9.028792664421992e-01	2.743535903695615e-11	1.726682459661256e-10	1.955953601022169e-10	-3.294234463775493e-12	2.388529133086288e-13	-6.507807893710449e-13	6.331521893626211e-03
3.649000000000000e-01	1.175829930646112e-06	7.066389841384939e-02	-4.173531514774213e-04	9.028792664421992e-01	2.743535903695615e-11	1.726682459661256e-10	1.955953601022169e-10	-3.294234463775493e-12	2.388529133086288e-13	-6.507807893710449e-13	6.702017430841011e-03
3.827000000000000e-01	1.175829930646112e-06	7.066389841384939e-02	-4.173531514774213e-04	9.028792664421992e-01	2.743535903695615e-11	1.726682459661256e-10	1.955953601022169e-10	-3.294234463775493e-12	2.388529133086288e-13	-6.507807893710449e-13	7.079551825527145e-03
4.005000000000000e-01	1.175829930646112e-06	7.066389841384939e-02	-4.173531514774213e-04	9.028792664421992e-01	2.743535903695615e-11	1.726682459661256e-10	1.955953601022169e-10	-3.294234463775493e-12	2.388529133086288e-13	-6.507807893710449e-13	7.464060976202632e-03
4.183000000000000e-01	1.175829930646112e-06	7.066389841384939e-02	-4.173531514774213e-04	9.028792664421992e-01	2.743535903695615e-11	1.726682459661256e-10	1.955953601022169e-10	-3.294234463775493e-12	2.388529133086288e-13	-6.507807893710449e-13	7.855557814954535e-03
